video_id,title,channel_name,published_date
-J8vIzsuy04,GETCHA! / Giga & KIRA Covered by Kotone（天神子兎音）＆ 樋口楓,天神 子兎音 Tenjin Kotone,2022-08-19T12:00:10Z
-6JYcjDjzuo,KING-Kanaria / covered 本間ひまわり,本間ひまわり - Himawari Honma -,2020-11-08T10:00:14Z
-1_HIVBQvpw,少女レイ (Shoujo Rei) - みきとP // covered by 芦澤 サキ,芦澤サキ / SAKI ASHIZAWA,2020-07-04T10:00:00Z
-IIoTckAB7M,【#歌ってみた🌸🌙】 💜ホントノワタシ Cover - ナセラ (Na Sera),ナ セラ / Na Sera【にじさんじ】,2022-11-21T10:30:06Z
-CdJVywxv7c,【Cover】Just Communication【RoaFen】,RoaFen【AkioAIR】,2023-01-01T06:00:10Z
-PtokvnvYiM,〖Cover〗KING - Kanaria【Layla Alstroemeria | NIJISANJI ID】,Layla Alstroemeria [NIJISANJI ID],2020-11-29T13:00:12Z
-CLw35H-Apc,【女性VTuberが】ジブラ / すりぃ 紡音れい cover【歌ってみた】,Rei Channel / 紡音れい,2022-06-27T10:00:14Z
-SDSLLZ36q0,君の知らない物語 (Covered by レヴィ・エリファ) 【歌ってみた /カバー】【にじさんじ】,レヴィ・エリファ-Levi Elipha-,2019-07-07T13:31:16Z
-82C1i-BxMc,【#NJU歌謡祭2021】ふたりごと covered by リリむぎ【家長むぎ/夕陽リリ】,Yuhi Riri Official,2022-01-28T11:00:16Z
-BZXZvOnRK0,【BGクラブ】脳漿炸裂ガール 歌ってみた - 森中花咲×鈴鹿詩子×モイラ【オリジナルMV】cover,鈴鹿詩子 Utako Suzuka,2019-01-27T12:57:45Z
-4p9xn1cK74,【音MAD】ファッ!?　ファッ!?　ファッ!?,犬山たまき / 佃煮のりおチャンネル,2019-05-08T09:58:46Z
-BI2YFYWnjc,【1人2役】獣ゆく細道／天音かなた(Cover),Kanata Ch. 天音かなた,2020-06-07T10:00:13Z
-Bp1paZ9BYg,The hole / King Gnu (covered by 緑仙),緑仙channel,2019-09-08T11:00:13Z
-GYOAjJVXMk,Police Piccadilly "Rumor" English Cover,Bao Ch. 海の幽霊,2020-12-31T22:49:04Z
-NWbuY94E4U,【#LiLYPSE_双星歌劇】ボッカデラベリタ- 柊キライ/covered by LiLYPSE【LIVE ver. from 反実仮想ARCHETYPE】,LiLYPSE-リリップス,2022-06-19T15:00:14Z
-Kvn8qpMUdQ,【Cover】虹を待つ人 / 奏手イヅル(Kanade Izuru),Izuru Ch. 奏手イヅル,2020-06-22T12:00:11Z
-SVljPDnlN4,ときのそら Theatrical Cover Live『Role:Play』 ダイジェスト映像,ときのそら,2022-02-25T09:00:01Z
-IlaqSfksd8,【歌ってみた】ガーネット/奥華子【町田ちま/にじさんじ】,町田ちま【にじさんじ】,2019-08-04T14:58:18Z
-AJwotVJJQc,【歌ってみた】不可思議のカルテ【カヘル】Fukashigi no Carte Cover -piano version-,Kaheru Channel カヘルチャンネル,2020-02-24T09:31:27Z
-Mck6QcjLn8,【歌ってみた】ヒューマノイド - ずっと真夜中でいいのに。/ 星乃めあ【オリジナルMV】,MaiR Official YouTube,2020-12-18T13:00:10Z
-awta3OwOMg,【歌ってみた】最低で最高のParadiso【 i's - 樋口楓 / リゼ・ヘルエスタ / 竜胆尊 cover】,リゼ・ヘルエスタ -Lize Helesta-,2021-08-24T10:00:16Z
-9oAgg5kDfY,KAKTUS - SUARA KAYU | Cover by Chika Kameria ft @Ayo Main  Acoustic Version,Chika Kameria【Virtunix】GRADUATED,2022-02-14T10:15:12Z
-7bzRrgK9H8,波に名前を付けること、僕らの呼吸に終わりがあること。covered by 黒音よみ 【歌ってみた】,黒音よみ【活動終了】,2021-02-17T11:00:15Z
-7OLohCBF9M,愛言葉Ⅲ　歌わせていただきました　(Cover)【まななつ/にじさんじ】,来栖 夏芽-kurusu natsume-【にじさんじ】,2023-02-13T15:00:09Z
-HLuebpbTBM,WONDERLAND - まりなす/covered by LiLYPSEwith音葉なほ【#LiLYPSE_双星歌劇/LIVE ver. from 反躬治星AUTONOMY】,LiLYPSE-リリップス,2023-01-29T15:00:10Z
-EiakGUhZ9E,狂乱 Hey Kids!! / THE ORAL CIGARETTES(covered by 犬山たまき×熊谷タクマ),Tamaki Ch. 犬山たまき / 佃煮のりお,2023-03-14T09:00:09Z
-UfIliNTZDg,【プロセカ】Vtuberが3Dで「トンデモワンダーズ」踊って歌ってみた【ホロライブ】,Mel Channel 夜空メルチャンネル,2023-02-01T10:00:07Z
-70SXv4qx08,Magnet マグネット (Covered by Moon Jelly x Miori Celesta ),Miori Celesta,2023-02-12T04:00:08Z
-S9OLjorWtI,【歌ってみた】おなじ話/緑仙・葉加瀬冬雪(Cover),葉加瀬 冬雪 / Hakase Fuyuki,2020-07-25T11:00:11Z
-UNODb52Gi4,Fire◎Flower / halyosy (covered by 緑仙),緑仙 / Ryushen,2022-08-29T11:00:12Z
-T8khZbEg2w,稲葉曇『Loneliness of Spring』Vo. 弦巻マキ (『ハルノ寂寞』English Cover),稲葉曇,2021-10-03T03:00:12Z
-_tsTaWnY44,アナタサマ：歌ってみた：麻婆豆腐,麻婆豆腐,2022-06-08T07:46:59Z
-_9gCnAQzP4,【歌ってみた】KING-DJ WILDPARTY remix-【健屋花那/にじさんじ】,健屋花那【にじさんじ】KanaSukoya,2020-12-31T11:00:12Z
